MA1 [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
NPC2016A [1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
MBRACKET [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
CBANK [1, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
SUMPRIM2 [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
QUE1 [1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3]
CPAIR [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
QUE2 [1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3]
STRDIST2 [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
TUTMRBL [1, 1, 1, 1, 1, 1, 3, 3, 3, 0, 3, 3, 3]
DNPALIN [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
AGS [1, 1, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3]
THREECOL [1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
DSUBSEQ [1, 1, 1, 1, 1, 3, 3, 0, 3, 3, 3, 3, 3]
KOLACI [3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
DETECT [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
DANCE [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
ROULETTD [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
HOUSES2 [3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
CCOST [1, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
BWB [1, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]
BALLSAG [1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
AJOB [1, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]
CNTDO [1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
CHASE [1, 1, 1, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3]
WALLSPRO [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
DIXDOOM [1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
GS [1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
GR [1, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]
PALPRIM [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
MEPPERM [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
PLAYSIGN [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
LITELANG [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
ADST01 [1, 3, 1, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3]
MAYACAL [1, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
CIRCLE_E [1, 3, 1, 1, 1, 1, 3, 3, 3, 1, 3, 3, 3]
GK [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
IITKWPCJ [1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3]
MCLONUM [1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
POLYDRAW [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
MAP [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
MAS [1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
SHAKTI [1, 3, 1, 1, 3, 1, 3, 3, 3, 1, 3, 3, 3]
NCOPRIME [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
TEMPTISL [1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, 3, 3]
GCDSQF [1, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3]
SPWORLD [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
MOBILE2 [1, 1, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
EXCHNG [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
PERMCODE [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
SUPPER [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
ICPC12C [1, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]
ZOOMOP2 [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
CHICKEGG [1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3]
STRNGSLV [1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3]
JUMPY [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
DISJPATH [1, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
AMR10G [1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, 3, 3]
SUBSN [1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3]
AMR10E [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
AMR10D [1, 1, 3, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3]
AMR10C [1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3]
AMR10B [1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
AMR10A [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
SACITY [1, 0, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]
BIRD [1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
AMR10I [1, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
AMR10H [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
COUNT [1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
DTPOLY2 [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
BLOCKS [1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
LVADER [1, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3]
SEQUENCE [1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
CT25C [1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
NGCD [1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
IIITMSTUD [1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
EXLAGFIB [1, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
XORROUND [1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]
GRE [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
BOOKS1 [1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]
MOSTYCOD [1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
